Ship Date,FIPS,Locality,Health District,Facility Type,Vaccine Manufacturer,Dose Number,Vaccine Doses Shipped Count
02/07/2021,51139,Page,Lord Fairfax,Local Health Departments,Moderna,1,100
03/20/2021,51073,Gloucester,Three Rivers,Hospitals,Pfizer,1,1170
04/16/2021,51760,Richmond City,Richmond,Local Health Departments,Pfizer,2,1170
04/27/2021,51193,Westmoreland,Three Rivers,Other Community Health Providers,Moderna,1,100
02/21/2021,51710,Norfolk,Norfolk,Local Health Departments,Moderna,2,500
02/08/2021,51041,Chesterfield,Chesterfield,Medical Practices,Moderna,1,200
02/28/2021,51683,Manassas City,Prince William,Pharmacies,Moderna,1,200
12/22/2020,51167,Russell,Cumberland Plateau,Hospitals,Moderna,1,500
03/18/2021,51093,Isle of Wight,Western Tidewater,Medical Practices,Moderna,2,200
02/24/2021,51550,Chesapeake,Chesapeake,Hospitals,Moderna,1,100
04/22/2021,51117,Mecklenburg,Southside,Local Health Departments,Moderna,1,100
04/23/2021,51683,Manassas City,Prince William,Medical Practices,Pfizer,1,1170
03/27/2021,51041,Chesterfield,Chesterfield,Other Community Health Providers,Pfizer,1,15210
03/28/2021,51540,Charlottesville,Blue Ridge,Hospitals,J&J,1,500
02/28/2021,51143,Pittsylvania,Pittsylvania-Danville,Medical Practices,Moderna,1,300
01/03/2021,51161,Roanoke County,Alleghany,Hospitals,Moderna,1,300
04/18/2021,51680,Lynchburg,Central Virginia,Other Community Health Providers,Moderna,1,300
02/24/2021,51800,Suffolk,Western Tidewater,Medical Practices,Moderna,1,1000
01/24/2021,51590,Danville,Pittsylvania-Danville,Other Community Health Providers,Moderna,1,200
03/22/2021,51810,Virginia Beach,Virginia Beach,Medical Practices,Moderna,1,200
02/20/2021,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,1,2100
03/28/2021,51067,Franklin County,West Piedmont,Medical Practices,Moderna,1,200
04/05/2021,51550,Chesapeake,Chesapeake,Hospitals,Moderna,1,300
03/25/2021,51199,York,Peninsula,Medical Practices,Moderna,2,200
04/05/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Pfizer,2,2340
03/12/2021,51013,Arlington,Arlington,Local Health Departments,Pfizer,1,2340
04/15/2021,51770,Roanoke City,Roanoke,Pharmacies,Moderna,2,100
04/29/2021,51161,Roanoke County,Alleghany,Hospitals,J&J,1,100
03/11/2021,51169,Scott,Lenowisco,Local Health Departments,Moderna,2,200
02/20/2021,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,1,1000
01/18/2021,51153,Prince William,Prince William,Pharmacies,Moderna,1,300
01/03/2021,51540,Charlottesville,Blue Ridge,Local Health Departments,Moderna,1,500
03/15/2021,51177,Spotsylvania,Rappahannock,Medical Practices,Moderna,1,300
02/25/2021,51141,Patrick,West Piedmont,Local Health Departments,Moderna,2,100
02/21/2021,51770,Roanoke City,Roanoke,Local Health Departments,Moderna,2,800
12/28/2020,51147,Prince Edward,Piedmont,Local Health Departments,Moderna,1,1500
02/20/2021,51031,Campbell,Central Virginia,Pharmacies,Moderna,1,200
01/24/2021,51175,Southampton,Western Tidewater,Other Community Health Providers,Moderna,1,600
04/15/2021,51540,Charlottesville,Blue Ridge,Other Community Health Providers,Moderna,2,100
04/15/2021,51027,Buchanan,Cumberland Plateau,Medical Practices,Moderna,2,100
04/16/2021,51510,Alexandria,Alexandria,Local Health Departments,Pfizer,1,1170
04/01/2021,51025,Brunswick,Southside,Pharmacies,Moderna,1,100
03/11/2021,51051,Dickenson,Cumberland Plateau,Local Health Departments,Moderna,2,100
04/11/2021,51510,Alexandria,Alexandria,Local Health Departments,Moderna,2,600
04/29/2021,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,2,1300
12/22/2020,51047,Culpeper,Rappahannock Rapidan,Hospitals,Moderna,1,1000
04/29/2021,51173,Smyth,Mount Rogers,Other Community Health Providers,Moderna,1,200
01/19/2021,51830,Williamsburg,Peninsula,Hospitals,Pfizer,2,975
04/11/2021,51075,Goochland,Chickahominy,Medical Practices,Moderna,1,100
04/18/2021,51810,Virginia Beach,Virginia Beach,Other Community Health Providers,Moderna,1,100
03/04/2021,51111,Lunenburg,Piedmont,Medical Practices,Moderna,2,100
04/05/2021,51173,Smyth,Mount Rogers,Local Health Departments,Moderna,1,700
02/08/2021,51650,Hampton,Hampton,Pharmacies,Moderna,1,100
01/11/2021,51013,Arlington,Arlington,Local Health Departments,Moderna,2,1000
01/12/2021,51680,Lynchburg,Central Virginia,Hospitals,Pfizer,1,2925
04/22/2021,51087,Henrico,Henrico,Medical Practices,Moderna,2,500
04/24/2021,51700,Newport News,Peninsula,Hospitals,Pfizer,1,2340
02/21/2021,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,1,1100
03/20/2021,51540,Charlottesville,Blue Ridge,Hospitals,Pfizer,1,2340
04/10/2021,51710,Norfolk,Norfolk,Pharmacies,Pfizer,2,1170
03/28/2021,51015,Augusta,Central Shenandoah,Medical Practices,Moderna,1,200
02/25/2021,51093,Isle of Wight,Western Tidewater,Medical Practices,Moderna,2,200
03/04/2021,51510,Alexandria,Alexandria,Pharmacies,Moderna,2,500
03/08/2021,51153,Prince William,Prince William,Pharmacies,Moderna,1,400
02/28/2021,51630,Fredericksburg,Rappahannock,Local Health Departments,Moderna,1,900
03/28/2021,51051,Dickenson,Cumberland Plateau,Pharmacies,Moderna,1,100
04/15/2021,51015,Augusta,Central Shenandoah,Medical Practices,Moderna,1,100
02/07/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,2,1500
03/08/2021,51690,Martinsville,West Piedmont,Pharmacies,Moderna,1,100
04/01/2021,51083,Halifax,Southside,Pharmacies,Moderna,2,600
01/10/2021,51510,Alexandria,Alexandria,Other Community Health Providers,Moderna,1,600
03/15/2021,51145,Powhatan,Chesterfield,Pharmacies,Moderna,1,300
02/07/2021,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,1,1400
03/25/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,2,2200
03/12/2021,51710,Norfolk,Norfolk,Local Health Departments,Pfizer,1,3510
04/15/2021,51710,Norfolk,Norfolk,Medical Practices,Moderna,2,300
02/20/2021,51121,Montgomery,New River,Local Health Departments,Moderna,2,3100
01/11/2021,51610,Falls Church,Fairfax,Medical Practices,Moderna,2,500
04/03/2021,51087,Henrico,Henrico,Hospitals,Pfizer,2,1170
01/04/2021,51840,Winchester,Lord Fairfax,Hospitals,Pfizer,1,2925
04/11/2021,51009,Amherst,Central Virginia,Pharmacies,Moderna,2,100
02/24/2021,51093,Isle of Wight,Western Tidewater,Pharmacies,Moderna,1,100
02/24/2021,51121,Montgomery,New River,Pharmacies,Moderna,2,300
04/22/2021,51153,Prince William,Prince William,Other Community Health Providers,Moderna,2,200
01/23/2021,51650,Hampton,Hampton,Hospitals,Pfizer,1,975
04/19/2021,51685,Manassas Park,Prince William,Other Community Health Providers,Pfizer,1,3510
03/18/2021,51069,Frederick,Lord Fairfax,Pharmacies,Moderna,2,300
04/11/2021,51840,Winchester,Lord Fairfax,Pharmacies,Moderna,2,800
12/28/2020,51187,Warren,Lord Fairfax,Local Health Departments,Moderna,1,200
03/08/2021,51059,Fairfax,Fairfax,Hospitals,J&J,1,3800
03/20/2021,51013,Arlington,Arlington,Local Health Departments,Pfizer,1,4680
03/25/2021,51760,Richmond City,Richmond,Local Health Departments,Moderna,2,100
03/22/2021,51103,Lancaster,Three Rivers,Medical Practices,Moderna,1,300
04/25/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,1,1500
02/07/2021,51185,Tazewell,Cumberland Plateau,Hospitals,Moderna,2,100
04/29/2021,51540,Charlottesville,Blue Ridge,Local Health Departments,Moderna,2,200
02/04/2021,51195,Wise,Lenowisco,Local Health Departments,Moderna,2,1100
02/07/2021,51019,Bedford,Central Virginia,Pharmacies,Moderna,1,100
04/01/2021,51051,Dickenson,Cumberland Plateau,Local Health Departments,Moderna,1,100
03/25/2021,51117,Mecklenburg,Southside,Medical Practices,Moderna,2,300
03/11/2021,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,1,4680
03/04/2021,51085,Hanover,Chickahominy,Local Health Departments,Moderna,2,2500
04/08/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,2,3900
02/22/2021,51775,Salem,Alleghany,Pharmacies,Moderna,2,100
04/24/2021,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,1,4680
04/22/2021,51153,Prince William,Prince William,Local Health Departments,Moderna,2,2500
04/10/2021,51650,Hampton,Hampton,Other Community Health Providers,Pfizer,2,3510
02/25/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,2,3100
02/27/2021,51121,Montgomery,New River,Local Health Departments,Pfizer,2,1170
04/29/2021,51510,Alexandria,Alexandria,Other Community Health Providers,Moderna,2,400
12/30/2020,51590,Danville,Pittsylvania-Danville,Hospitals,Pfizer,2,975
03/25/2021,51119,Middlesex,Three Rivers,Local Health Departments,Moderna,2,500
04/05/2021,51013,Arlington,Arlington,Hospitals,Moderna,1,100
04/17/2021,51087,Henrico,Henrico,Local Health Departments,Pfizer,1,3510
03/25/2021,51001,Accomack,Eastern Shore,Hospitals,Moderna,2,200
02/20/2021,51710,Norfolk,Norfolk,Hospitals,Moderna,2,9300
03/28/2021,51680,Lynchburg,Central Virginia,Other Community Health Providers,Moderna,1,200
04/02/2021,51153,Prince William,Prince William,Other Community Health Providers,Pfizer,2,1170
04/18/2021,51187,Warren,Lord Fairfax,Pharmacies,Moderna,1,100
02/25/2021,51121,Montgomery,New River,Local Health Departments,Moderna,2,900
04/18/2021,51015,Augusta,Central Shenandoah,Hospitals,Moderna,1,500
03/14/2021,51141,Patrick,West Piedmont,Local Health Departments,Moderna,1,100
02/20/2021,51051,Dickenson,Cumberland Plateau,Pharmacies,Moderna,1,100
02/01/2021,51103,Lancaster,Three Rivers,Medical Practices,Moderna,1,100
04/09/2021,51840,Winchester,Lord Fairfax,Hospitals,Pfizer,1,2340
01/12/2021,51710,Norfolk,Norfolk,Hospitals,Pfizer,2,7800
04/29/2021,51570,Colonial Heights,Chesterfield,Medical Practices,Moderna,2,400
03/05/2021,51800,Suffolk,Western Tidewater,Hospitals,Pfizer,1,1170
02/20/2021,51001,Accomack,Eastern Shore,Local Health Departments,Moderna,2,900
01/30/2021,51087,Henrico,Henrico,Local Health Departments,Pfizer,1,975
02/24/2021,51087,Henrico,Henrico,Medical Practices,Moderna,1,900
01/30/2021,51760,Richmond City,Richmond,Hospitals,Pfizer,2,3900
04/08/2021,51173,Smyth,Mount Rogers,Other Community Health Providers,Moderna,2,200
03/27/2021,51013,Arlington,Arlington,Local Health Departments,Pfizer,1,4680
03/15/2021,51770,Roanoke City,Roanoke,Local Health Departments,Moderna,1,1100
02/03/2021,51085,Hanover,Chickahominy,Pharmacies,Moderna,1,600
04/15/2021,51590,Danville,Pittsylvania-Danville,Other Community Health Providers,Moderna,2,6000
02/08/2021,51685,Manassas Park,Prince William,Other Community Health Providers,Moderna,2,100
01/18/2021,51107,Loudoun,Loudoun,Hospitals,Moderna,1,100
04/17/2021,51760,Richmond City,Richmond,Pharmacies,Pfizer,1,3510
03/28/2021,51550,Chesapeake,Chesapeake,Hospitals,Moderna,1,300
03/08/2021,51093,Isle of Wight,Western Tidewater,Pharmacies,Moderna,1,200
04/08/2021,51550,Chesapeake,Chesapeake,Hospitals,Moderna,2,200
04/01/2021,51185,Tazewell,Cumberland Plateau,Local Health Departments,Moderna,2,100
03/18/2021,51199,York,Peninsula,Medical Practices,Moderna,2,200
03/04/2021,51690,Martinsville,West Piedmont,Hospitals,Moderna,2,300
04/16/2021,51073,Gloucester,Three Rivers,Hospitals,Pfizer,2,1170
02/28/2021,51143,Pittsylvania,Pittsylvania-Danville,Other Community Health Providers,Moderna,1,200
03/18/2021,51810,Virginia Beach,Virginia Beach,Medical Practices,Moderna,2,200
02/07/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,1,1100
01/11/2021,51121,Montgomery,New River,Hospitals,Moderna,2,2000
02/13/2021,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,2,3900
02/25/2021,51107,Loudoun,Loudoun,Other Community Health Providers,Moderna,2,100
04/08/2021,51033,Caroline,Rappahannock,Medical Practices,Moderna,1,200
04/01/2021,51690,Martinsville,West Piedmont,Local Health Departments,Moderna,2,400
01/03/2021,Not Reported,Not Reported,Not Reported,Medical Practices,Moderna,1,200
04/02/2021,51760,Richmond City,Richmond,Local Health Departments,Pfizer,1,2340
04/11/2021,51510,Alexandria,Alexandria,Medical Practices,Moderna,1,1000
04/18/2021,51660,Harrisonburg,Central Shenandoah,Pharmacies,Moderna,1,100
03/25/2021,51678,Lexington,Central Shenandoah,Hospitals,Moderna,2,300
04/18/2021,51700,Newport News,Peninsula,Hospitals,Moderna,1,500
04/01/2021,51770,Roanoke City,Roanoke,Medical Practices,Moderna,2,100
03/04/2021,51550,Chesapeake,Chesapeake,Hospitals,Moderna,2,300
03/25/2021,51141,Patrick,West Piedmont,Pharmacies,Moderna,2,100
03/04/2021,51830,Williamsburg,Peninsula,Pharmacies,Moderna,2,100
03/12/2021,51770,Roanoke City,Roanoke,Hospitals,Pfizer,1,4680
03/08/2021,51117,Mecklenburg,Southside,Medical Practices,Moderna,1,200
04/22/2021,51650,Hampton,Hampton,Local Health Departments,Moderna,2,400
03/18/2021,51105,Lee,Lenowisco,Medical Practices,Moderna,2,200
01/11/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,2,2900
02/20/2021,51073,Gloucester,Three Rivers,Hospitals,Pfizer,1,1170
02/13/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Pfizer,1,1950
04/29/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Moderna,2,700
04/11/2021,51770,Roanoke City,Roanoke,Pharmacies,Moderna,2,100
02/28/2021,51590,Danville,Pittsylvania-Danville,Medical Practices,Moderna,1,100
02/20/2021,51650,Hampton,Hampton,Local Health Departments,Moderna,1,600
02/04/2021,51680,Lynchburg,Central Virginia,Other Community Health Providers,Moderna,2,300
02/26/2021,51840,Winchester,Lord Fairfax,Hospitals,Pfizer,2,1170
02/03/2021,51540,Charlottesville,Blue Ridge,Local Health Departments,Moderna,1,1200
12/28/2020,51107,Loudoun,Loudoun,Local Health Departments,Moderna,1,3000
03/08/2021,51059,Fairfax,Fairfax,Other Community Health Providers,Moderna,1,500
03/29/2021,51550,Chesapeake,Chesapeake,Medical Practices,Moderna,2,100
02/06/2021,51015,Augusta,Central Shenandoah,Hospitals,Pfizer,2,1950
02/20/2021,51041,Chesterfield,Chesterfield,Medical Practices,Moderna,2,200
02/20/2021,51075,Goochland,Chickahominy,Other Community Health Providers,Moderna,1,300
04/18/2021,51600,Fairfax City,Fairfax,Pharmacies,Moderna,2,500
04/11/2021,51173,Smyth,Mount Rogers,Pharmacies,Moderna,2,300
02/04/2021,51760,Richmond City,Richmond,Other Community Health Providers,Moderna,2,200
03/14/2021,51169,Scott,Lenowisco,Pharmacies,Moderna,1,100
04/15/2021,51678,Lexington,Central Shenandoah,Hospitals,Moderna,2,300
03/08/2021,51087,Henrico,Henrico,Medical Practices,Moderna,1,700
01/20/2021,51680,Lynchburg,Central Virginia,Local Health Departments,Moderna,2,400
04/05/2021,51540,Charlottesville,Blue Ridge,Hospitals,Moderna,2,200
03/04/2021,51620,Franklin City,Western Tidewater,Pharmacies,Moderna,2,100
02/01/2021,51510,Alexandria,Alexandria,Other Community Health Providers,Moderna,1,200
02/28/2021,51019,Bedford,Central Virginia,Medical Practices,Moderna,1,100
03/21/2021,51760,Richmond City,Richmond,Other Community Health Providers,Moderna,1,100
04/09/2021,51630,Fredericksburg,Rappahannock,Hospitals,Pfizer,1,9360
02/20/2021,51710,Norfolk,Norfolk,Medical Practices,Moderna,2,200
03/11/2021,51683,Manassas City,Prince William,Medical Practices,Moderna,2,300
03/18/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,2,1100
02/28/2021,51810,Virginia Beach,Virginia Beach,Medical Practices,Moderna,1,500
04/29/2021,51540,Charlottesville,Blue Ridge,Hospitals,Moderna,1,300
03/04/2021,51740,Portsmouth,Portsmouth,Pharmacies,Moderna,2,100
02/28/2021,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,1,1100
03/25/2021,51069,Frederick,Lord Fairfax,Pharmacies,Moderna,2,200
04/18/2021,51550,Chesapeake,Chesapeake,Hospitals,Moderna,1,500
01/10/2021,51167,Russell,Cumberland Plateau,Local Health Departments,Moderna,1,300
03/04/2021,51135,Nottoway,Piedmont,Medical Practices,Moderna,2,200
04/17/2021,51650,Hampton,Hampton,Hospitals,Pfizer,1,2340
04/02/2021,51041,Chesterfield,Chesterfield,Local Health Departments,Pfizer,2,1170
02/24/2021,51790,Staunton,Central Shenandoah,Local Health Departments,Moderna,1,1300
01/10/2021,51087,Henrico,Henrico,Local Health Departments,Moderna,1,1000
01/20/2021,51550,Chesapeake,Chesapeake,Local Health Departments,Moderna,2,400
03/16/2021,51041,Chesterfield,Chesterfield,Other Community Health Providers,Moderna,1,200
04/25/2021,51810,Virginia Beach,Virginia Beach,Pharmacies,Moderna,1,100
03/01/2021,51015,Augusta,Central Shenandoah,Hospitals,J&J,1,3000
03/11/2021,51810,Virginia Beach,Virginia Beach,Medical Practices,Moderna,2,500
02/21/2021,51800,Suffolk,Western Tidewater,Medical Practices,Moderna,1,400
03/04/2021,51730,Petersburg,Crater,Hospitals,Moderna,2,100
02/25/2021,51185,Tazewell,Cumberland Plateau,Local Health Departments,Moderna,2,200
03/15/2021,51810,Virginia Beach,Virginia Beach,Local Health Departments,Moderna,1,4400
04/11/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,2,1300
12/22/2020,51710,Norfolk,Norfolk,Hospitals,Moderna,1,5700
03/11/2021,51700,Newport News,Peninsula,Medical Practices,Moderna,2,400
04/01/2021,51003,Albemarle,Blue Ridge,Medical Practices,Moderna,1,500
03/14/2021,51067,Franklin County,West Piedmont,Local Health Departments,Moderna,1,200
04/15/2021,51197,Wythe,Mount Rogers,Pharmacies,Moderna,2,100
02/28/2021,51117,Mecklenburg,Southside,Medical Practices,Moderna,1,300
01/20/2021,51510,Alexandria,Alexandria,Local Health Departments,Moderna,2,4900
03/21/2021,51137,Orange,Rappahannock Rapidan,Local Health Departments,Moderna,1,1300
02/25/2021,51067,Franklin County,West Piedmont,Medical Practices,Moderna,2,100
02/26/2021,51121,Montgomery,New River,Local Health Departments,Pfizer,1,1170
02/04/2021,51820,Waynesboro,Central Shenandoah,Pharmacies,Moderna,2,100
02/25/2021,51027,Buchanan,Cumberland Plateau,Local Health Departments,Moderna,2,100
04/29/2021,51600,Fairfax City,Fairfax,Local Health Departments,Moderna,1,500
03/21/2021,51550,Chesapeake,Chesapeake,Pharmacies,Moderna,1,1200
03/11/2021,51143,Pittsylvania,Pittsylvania-Danville,Medical Practices,Moderna,2,100
02/25/2021,51107,Loudoun,Loudoun,Local Health Departments,Pfizer,1,1170
04/01/2021,51085,Hanover,Chickahominy,Medical Practices,Moderna,1,500
02/20/2021,51121,Montgomery,New River,Local Health Departments,Pfizer,1,1170
02/04/2021,51087,Henrico,Henrico,Pharmacies,Moderna,2,1000
03/28/2021,51153,Prince William,Prince William,Medical Practices,Moderna,1,1200
03/11/2021,51760,Richmond City,Richmond,Medical Practices,Moderna,2,400
04/15/2021,51013,Arlington,Arlington,Local Health Departments,Moderna,2,2200
04/01/2021,51690,Martinsville,West Piedmont,Pharmacies,Moderna,2,100
03/14/2021,51041,Chesterfield,Chesterfield,Pharmacies,Moderna,1,2500
04/29/2021,51760,Richmond City,Richmond,Hospitals,Moderna,2,400
02/08/2021,51510,Alexandria,Alexandria,Medical Practices,Moderna,1,100
02/21/2021,51840,Winchester,Lord Fairfax,Local Health Departments,Moderna,1,500
03/14/2021,51740,Portsmouth,Portsmouth,Local Health Departments,Moderna,1,400
03/21/2021,51163,Rockbridge,Central Shenandoah,Local Health Departments,Moderna,1,300
01/28/2021,51153,Prince William,Prince William,Local Health Departments,Moderna,2,5000
03/11/2021,51079,Greene,Blue Ridge,Pharmacies,Moderna,2,100
02/20/2021,51690,Martinsville,West Piedmont,Hospitals,Moderna,1,100
04/01/2021,51031,Campbell,Central Virginia,Pharmacies,Moderna,1,100
03/16/2021,51193,Westmoreland,Three Rivers,Other Community Health Providers,Moderna,2,100
03/27/2021,51061,Fauquier,Rappahannock Rapidan,Local Health Departments,Pfizer,2,1170
04/15/2021,51111,Lunenburg,Piedmont,Pharmacies,Moderna,2,100
02/01/2021,51800,Suffolk,Western Tidewater,Local Health Departments,Moderna,1,500
12/14/2020,51590,Danville,Pittsylvania-Danville,Hospitals,Pfizer,1,975
,Not Reported,Not Reported,Not Reported,Local Health Departments,,0,105300
03/18/2021,51079,Greene,Blue Ridge,Pharmacies,Moderna,2,100
02/01/2021,51690,Martinsville,West Piedmont,Pharmacies,Moderna,1,100
01/03/2021,51770,Roanoke City,Roanoke,Local Health Departments,Moderna,1,1000
